sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
YYSINGLT202,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Tile,base,Floorworks® Tile | African Slate,,<p>Color: African Slate</p>,0,1,0,Not Visible Individually,0,,,,african-slate,Floorworks® Tile | African Slate,,,/s/m/sm_floorworks-tile-african-slate_4.jpg,African Slate,/s/m/sm_floorworks-tile-african-slate_4.jpg,African Slate,/s/m/sm_floorworks-tile-african-slate_4.jpg,African Slate,,,"4/14/16, 8:14 PM","6/17/19, 1:28 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=African Slate,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Tile,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 6 in,matsinc_sample_sku=YYSINGLT202,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJMAA2,salesforce_product_id=01t3i000000dKgfAAE,url_path=african-slate",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-tile-african-slate_4.jpg,African Slate,,,,,,,,,,,,,
YYSINGLT210,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Tile,base,Floorworks® Tile | Coastal Slate,,<p>Color: Coastal Slate</p>,0,1,0,Not Visible Individually,0,,,,floorworks-tile-coastal-slate-single,Floorworks® Tile | Coastal Slate,,,/s/m/sm_floorworks-tile-coastal-slate_4.jpg,Coastal Slate,/s/m/sm_floorworks-tile-coastal-slate_4.jpg,Coastal Slate,/s/m/sm_floorworks-tile-coastal-slate_4.jpg,Coastal Slate,,,"4/14/16, 8:14 PM","6/17/19, 1:28 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Coastal Slate,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Tile,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 6 in,matsinc_sample_sku=YYSINGLT210,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJNAA2,salesforce_product_id=01t3i000000dKggAAE,url_path=floorworks-tile-coastal-slate-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-tile-coastal-slate_4.jpg,Coastal Slate,,,,,,,,,,,,,
YYSINGLT502,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Tile,base,Floorworks® Tile | Travertine Mist,,<p>Color: Travertine Mist</p>,0,2,0,Not Visible Individually,0,,,,floorworks-tile-travertine-mist-single,Floorworks® Tile | Travertine Mist,,,/s/m/sm_floorworks-tile-travertine-mist_4.jpg,Travertine Mist,/s/m/sm_floorworks-tile-travertine-mist_4.jpg,Travertine Mist,/s/m/sm_floorworks-tile-travertine-mist_4.jpg,Travertine Mist,,,"4/14/16, 8:14 PM","9/4/19, 8:05 AM",,,Product Info Column,,,,No,,,,,,,,,"color=Travertine Mist,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Tile,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 6 in,matsinc_sample_sku=YYSINGLT502,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJOAA2,salesforce_product_id=01t3i000000dKghAAE,url_path=floorworks-tile-travertine-mist-single",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-tile-travertine-mist_4.jpg,Travertine Mist,,,,,,,,,,,,,
YYSINGLW9010,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Antique Pine,,<p>Color: Antique Pine</p>,0,2,0,Not Visible Individually,0,,,,floorworks-plank-antique-pine-single,Floorworks® Plank | Antique Pine,,,/s/m/sm_floorworks-plank-antique-pine_4_1.jpg,Antique Pine,/s/m/sm_floorworks-plank-antique-pine_4_1.jpg,Antique Pine,/s/m/sm_floorworks-plank-antique-pine_4_1.jpg,Antique Pine,,,"4/14/16, 8:20 PM","9/8/20, 2:22 PM",,,Product Info Column,,,,No,,,,,,,,,"color=Antique Pine,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW9010,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJPAA2,salesforce_product_id=01t3i000000dKgiAAE,url_path=floorworks-plank-antique-pine-single",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-antique-pine_4_1.jpg,Antique Pine,,,,,,,,,,,,,
YYSINGLW1005,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Arcadian Oak,,<p>Color: Arcadian Oak</p>,0,1,0,Not Visible Individually,0,,,,floorworks-plank-arcadian-oak-single,Floorworks® Plank | Arcadian Oak,,,/s/m/sm_floorworks-plank-arcadian-oak_4_1.jpg,Arcadian Oak,/s/m/sm_floorworks-plank-arcadian-oak_4_1.jpg,Arcadian Oak,/s/m/sm_floorworks-plank-arcadian-oak_4_1.jpg,Arcadian Oak,,,"4/14/16, 8:20 PM","6/17/19, 1:13 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Arcadian Oak,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW1005,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJQAA2,salesforce_product_id=01t3i000000dKgjAAE,url_path=floorworks-plank-arcadian-oak-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-arcadian-oak_4_1.jpg,Arcadian Oak,,,,,,,,,,,,,
YYSINGLW1012,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | California Black Oak,,<p>Color: California Black Oak</p>,0,1,0,Not Visible Individually,0,,,,floorworks-plank-california-black-oak-single,Floorworks® Plank | California Black Oak,,,/s/m/sm_floorworks-plank-california-black-oak_4_1.jpg,California Black Oak,/s/m/sm_floorworks-plank-california-black-oak_4_1.jpg,California Black Oak,/s/m/sm_floorworks-plank-california-black-oak_4_1.jpg,California Black Oak,,,"4/14/16, 8:20 PM","6/17/19, 1:13 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=California Black Oak,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW1012,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJRAA2,salesforce_product_id=01t3i000000dKgkAAE,url_path=floorworks-plank-california-black-oak-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-california-black-oak_4_1.jpg,California Black Oak,,,,,,,,,,,,,
YYSINGLW4040,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Colonial Pine,,<p>Color: Colonial Pine</p>,0,2,0,Not Visible Individually,0,,,,floorworks-plank-colonial-pine-single-6-x-9-in-3-mm-pine-wood,Floorworks® Plank | Colonial Pine,,,/s/m/sm_floorworks-plank-colonial-pine_8_3.jpg,Small,/s/m/sm_floorworks-plank-colonial-pine_8_3.jpg,Small,/s/m/sm_floorworks-plank-colonial-pine_8_3.jpg,Small,,,"4/14/16, 8:20 PM","1/7/20, 9:49 AM",,,Product Info Column,,,,No,,,,,,,,,"color=Colonial Pine,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW4040,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJSAA2,salesforce_product_id=01t3i000000dKglAAE,url_path=floorworks-plank-colonial-pine-single-6-x-9-in-3-mm-pine-wood",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-colonial-pine_8_3.jpg,Small,,,,,,,,,,,,,
YYSINGLW4021,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Heart Pine,,<p>Color: Heart Pine</p>,0,2,0,Not Visible Individually,0,,,,floorworks-plank-heart-pine-single,Floorworks® Plank | Heart Pine,,,/s/m/sm_floorworks-plank-heart-pine_4_1.jpg,Heart Pine,/s/m/sm_floorworks-plank-heart-pine_4_1.jpg,Heart Pine,/s/m/sm_floorworks-plank-heart-pine_4_1.jpg,Heart Pine,,,"4/14/16, 8:20 PM","9/8/20, 2:23 PM",,,Product Info Column,,,,No,,,,,,,,,"color=Heart Pine,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW4021,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJTAA2,salesforce_product_id=01t3i000000dKgmAAE,url_path=floorworks-plank-heart-pine-single",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-heart-pine_4_1.jpg,Heart Pine,,,,,,,,,,,,,
YYSINGLW6001,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Natural Elm,,<p>Color: Natural Elm</p>,0,1,0,Not Visible Individually,0,,,,floorworks-plank-natural-elm-single,Floorworks® Plank | Natural Elm,,,/s/m/sm_floorworks-plank-natural-elm_4_1.jpg,Natural Elm,/s/m/sm_floorworks-plank-natural-elm_4_1.jpg,Natural Elm,/s/m/sm_floorworks-plank-natural-elm_4_1.jpg,Natural Elm,,,"4/14/16, 8:20 PM","6/17/19, 1:13 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Natural Elm,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW6001,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJUAA2,salesforce_product_id=01t3i000000dKgnAAE,url_path=floorworks-plank-natural-elm-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-natural-elm_4_1.jpg,Natural Elm,,,,,,,,,,,,,
YYSINGLW1053,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Tudor Distressed Wood,,<p>Color: Tudor Distressed Wood</p>,0,1,0,Not Visible Individually,0,,,,floorworks-plank-tudor-distressed-wood-single,Floorworks® Plank | Tudor Distressed Wood,,,/s/m/sm_floorworks-plank-tudor-distressed-wood_4_1.jpg,Tudor Distressed Wood,/s/m/sm_floorworks-plank-tudor-distressed-wood_4_1.jpg,Tudor Distressed Wood,/s/m/sm_floorworks-plank-tudor-distressed-wood_4_1.jpg,Tudor Distressed Wood,,,"4/14/16, 8:21 PM","6/17/19, 1:21 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Tudor Distressed Wood,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 12 in,matsinc_sample_sku=YYSINGLW1053,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJVAA2,salesforce_product_id=01t3i000000dKgoAAE,url_path=floorworks-plank-tudor-distressed-wood-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-tudor-distressed-wood_4_1.jpg,Tudor Distressed Wood,,,,,,,,,,,,,
YYSINGLW2010,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Vanilla Maple,,<p>Color: Vanilla Maple</p>,0,1,0,Not Visible Individually,0,,,,floorworks-plank-vanilla-maple-single,Floorworks® Plank | Vanilla Maple,,,/s/m/sm_floorworks-plank-vanilla-maple_4_1.jpg,Vanilla Maple,/s/m/sm_floorworks-plank-vanilla-maple_4_1.jpg,Vanilla Maple,/s/m/sm_floorworks-plank-vanilla-maple_4_1.jpg,Vanilla Maple,,,"4/14/16, 8:21 PM","6/17/19, 1:21 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Vanilla Maple,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=4 x 9 in,matsinc_sample_sku=YYSINGLW2010,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJWAA2,salesforce_product_id=01t3i000000dKgpAAE,url_path=floorworks-plank-vanilla-maple-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-vanilla-maple_4_1.jpg,Vanilla Maple,,,,,,,,,,,,,
YYSINGLW3011,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Vanilla Walnut,,<p>Color: Vanilla Walnut</p>,0,2,0,Not Visible Individually,0,,,,floorworks-plank-vanilla-walnut-single,Floorworks® Plank | Vanilla Walnut,,,/s/m/sm_floorworks-plank-vanilla-walnut_4_1.jpg,Vanilla Walnut,/s/m/sm_floorworks-plank-vanilla-walnut_4_1.jpg,Vanilla Walnut,/s/m/sm_floorworks-plank-vanilla-walnut_4_1.jpg,Vanilla Walnut,,,"4/14/16, 8:21 PM","1/7/20, 9:52 AM",,,Product Info Column,,,,No,,,,,,,,,"color=Vanilla Walnut,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=4 x 9 in,matsinc_sample_sku=YYSINGLW3011,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJXAA2,salesforce_product_id=01t3i000000dKgqAAE,url_path=floorworks-plank-vanilla-walnut-single",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-vanilla-walnut_4_1.jpg,Vanilla Walnut,,,,,,,,,,,,,
YYSINGLW1020,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Antique Mahogany,,Antique Mahogany,0,2,0,Not Visible Individually,0,,,,floorworks-plank-antique-mahogany-single,Floorworks® Plank | Antique Mahogany,,,/s/m/sm_floorworks-plank-antique-mahogany_4_1.jpg,Antique Mahogany,/s/m/sm_floorworks-plank-antique-mahogany_4_1.jpg,Antique Mahogany,/s/m/sm_floorworks-plank-antique-mahogany_4_1.jpg,Antique Mahogany,,,"4/14/16, 8:21 PM","1/7/20, 9:49 AM",,,Product Info Column,,,,No,,,,,,,,,"color=Antique Mahogany,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW1020,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJYAA2,salesforce_product_id=01t3i000000dKgrAAE,url_path=floorworks-plank-antique-mahogany-single",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-antique-mahogany_4_1.jpg,Antique Mahogany,,,,,,,,,,,,,
YYSINGLW9300,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Blended Strip Wood,,Blended Strip Wood,0,1,0,Not Visible Individually,0,,,,floorworks-plank-blended-strip-wood-single,Floorworks® Plank | Blended Strip Wood,,,/s/m/sm_floorworks-plank-blended-strip-wood_4_1.jpg,Blended Strip Wood,/s/m/sm_floorworks-plank-blended-strip-wood_4_1.jpg,Blended Strip Wood,/s/m/sm_floorworks-plank-blended-strip-wood_4_1.jpg,Blended Strip Wood,,,"4/14/16, 8:21 PM","6/17/19, 1:22 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Blended Strip Wood,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW9300,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJZAA2,salesforce_product_id=01t3i000000dKgsAAE,url_path=floorworks-plank-blended-strip-wood-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-blended-strip-wood_4_1.jpg,Blended Strip Wood,,,,,,,,,,,,,
YYSINGLW4030,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Cajun Pine,,Cajun Pine,0,1,0,Not Visible Individually,0,,,,floorworks-plank-cajun-pine-single,Floorworks® Plank | Cajun Pine,,,/s/m/sm_floorworks-plank-cajun-pine_4_1.jpg,Cajun Pine,/s/m/sm_floorworks-plank-cajun-pine_4_1.jpg,Cajun Pine,/s/m/sm_floorworks-plank-cajun-pine_4_1.jpg,Cajun Pine,,,"4/14/16, 8:21 PM","6/17/19, 1:22 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Cajun Pine,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW4030,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJaAAM,salesforce_product_id=01t3i000000dKgtAAE,url_path=floorworks-plank-cajun-pine-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-cajun-pine_4_1.jpg,Cajun Pine,,,,,,,,,,,,,
YYSINGLW7550,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Gray Ash,,<p>Color: Gray Ash</p>,0,1,0,Not Visible Individually,0,,,,floorworks-plank-gray-ash-single,Floorworks® Plank | Gray Ash,,,/s/m/sm_floorworks-plank-gray-ash_4_1.jpg,Gray Ash,/s/m/sm_floorworks-plank-gray-ash_4_1.jpg,Gray Ash,/s/m/sm_floorworks-plank-gray-ash_4_1.jpg,Gray Ash,,,"4/14/16, 8:21 PM","6/17/19, 1:22 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Gray Ash,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW7550,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJbAAM,salesforce_product_id=01t3i000000dKguAAE,url_path=floorworks-plank-gray-ash-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-gray-ash_4_1.jpg,Gray Ash,,,,,,,,,,,,,
YYSINGLW1003,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Oregon White Oak,,<p>Color: Oregon White Oak</p>,0,1,0,Not Visible Individually,0,,,,floorworks-plank-oregon-white-oak-single,Floorworks® Plank | Oregon White Oak,,,/s/m/sm_floorworks-plank-oregon-white-oak_4_1.jpg,Oregon White Oak,/s/m/sm_floorworks-plank-oregon-white-oak_4_1.jpg,Oregon White Oak,/s/m/sm_floorworks-plank-oregon-white-oak_4_1.jpg,Oregon White Oak,,,"4/14/16, 8:21 PM","7/12/19, 11:55 AM",,,Product Info Column,,,,No,,,,,,,,,"color=Oregon White Oak,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW1003,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJcAAM,salesforce_product_id=01t3i000000dKgvAAE,url_path=floorworks-plank-oregon-white-oak-single",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-oregon-white-oak_4_1.jpg,Oregon White Oak,,,,,,,,,,,,,
YYSINGLW7002,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | River Birch,,Color: River Birch,0,2,0,Not Visible Individually,0,,,,floorworks-plank-river-birch-single,Floorworks® Plank | River Birch,,,/s/m/sm_floorworks-plank-river-birch_4_1.jpg,River Birch,/s/m/sm_floorworks-plank-river-birch_4_1.jpg,River Birch,/s/m/sm_floorworks-plank-river-birch_4_1.jpg,River Birch,,,"4/14/16, 8:21 PM","9/8/20, 2:23 PM",,,Product Info Column,,,,No,,,,,,,,,"color=River Birch,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW7002,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJdAAM,salesforce_product_id=01t3i000000dKgwAAE,url_path=floorworks-plank-river-birch-single",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-river-birch_4_1.jpg,River Birch,,,,,,,,,,,,,
YYSINGLW5020,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Sandy Beach,,<p>Color: Sandy Beech</p>,0,2,0,Not Visible Individually,0,,,,floorworks-plank-sandy-beech-single-6-x-9-in-3-mm-beech-wood,Floorworks® Plank | Sandy Beech,,,/s/m/sm_floorworks-plank-sandy-beech_8_3.jpg,Sandy Beech,/s/m/sm_floorworks-plank-sandy-beech_8_3.jpg,Sandy Beech,/s/m/sm_floorworks-plank-sandy-beech_8_3.jpg,Sandy Beech,,,"4/14/16, 8:21 PM","7/29/19, 11:36 AM",,,Product Info Column,,,,No,,,,,,,,,"color=Sandy Beech,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW5020,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJeAAM,salesforce_product_id=01t3i000000dKgxAAE,url_path=floorworks-plank-sandy-beech-single-6-x-9-in-3-mm-beech-wood",100,0,1,0,0,1,1,1,4,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-sandy-beech_8_3.jpg,Sandy Beech,,,,,,,,,,,,,
YYSINGLW6505,,Migration_Contract Flooring,simple,All Products/Products/Contract Flooring/Vinyl/Floorworks Plank,base,Floorworks® Plank | Sapwood Cherry,,"<p>Color: Sapwood Cherry</p>
",0,1,0,Not Visible Individually,0,,,,floorworks-plank-sapwood-cherry-single,Floorworks® Plank | Sapwood Cherry,,,/s/m/sm_floorworks-plank-sapwood-cherry_4_1.jpg,Sapwood Cherry,/s/m/sm_floorworks-plank-sapwood-cherry_4_1.jpg,Sapwood Cherry,/s/m/sm_floorworks-plank-sapwood-cherry_4_1.jpg,Sapwood Cherry,,,"4/14/16, 8:21 PM","6/17/19, 1:22 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Sapwood Cherry,is_recurring=No,matsinc_brand_left_filter=Floorworks®,matsinc_format_multiple=Plank,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=n/a,matsinc_sample_size=6 x 9 in,matsinc_sample_sku=YYSINGLW6505,matsinc_sample_thickness=3 mm,matsinc_sample_type=Single,matsinc_total_thickness_in=3 mm,salesforce_pricebookentry_id=01u3i000000oOJfAAM,salesforce_product_id=01t3i000000dKgyAAE,url_path=floorworks-plank-sapwood-cherry-single",100,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,/s/m/sm_floorworks-plank-sapwood-cherry_4_1.jpg,Sapwood Cherry,,,,,,,,,,,,,
